time;;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20180111:0910;;16.0;70.0;0.0;9.66;6.35;0.62;0.0
20180111:1010;;9.0;100.0;0.0;14.28;7.27;0.83;0.0
20180111:1110;;9.0;118.0;0.0;16.79;7.87;1.31;0.0
20180111:1210;;54.0;135.0;0.0;16.97;8.02;1.66;0.0
20180111:1310;;145.01;76.0;0.0;14.8;7.92;1.86;0.0
20180111:1410;;34.0;77.0;0.0;10.47;7.82;2.0;0.0
20180111:1510;;20.0;19.53;0.0;4.36;7.47;1.72;0.0
20180111:1610;;0.0;0.0;0.0;0.0;6.8;1.72;0.0
20180111:1710;;0.0;0.0;0.0;0.0;6.53;1.59;0.0
20180111:1810;;0.0;0.0;0.0;0.0;6.23;1.38;0.0
20180111:1910;;0.0;0.0;0.0;0.0;5.37;1.45;0.0
20180111:2010;;0.0;0.0;0.0;0.0;4.83;1.66;0.0
20180111:2110;;0.0;0.0;0.0;0.0;4.51;1.66;0.0
20180111:2210;;0.0;0.0;0.0;0.0;4.91;1.45;0.0
20180111:2310;;0.0;0.0;0.0;0.0;4.93;1.17;0.0
20180112:0010;;0.0;0.0;0.0;0.0;5.05;1.03;0.0
20180112:0110;;0.0;0.0;0.0;0.0;4.96;0.97;0.0
20180112:0210;;0.0;0.0;0.0;0.0;4.79;0.9;0.0
20180112:0310;;0.0;0.0;0.0;0.0;4.57;0.83;0.0
20180112:0410;;0.0;0.0;0.0;0.0;4.34;0.76;0.0
20180112:0510;;0.0;0.0;0.0;0.0;4.04;0.76;0.0
20180112:0610;;0.0;0.0;0.0;0.0;3.81;0.76;0.0
20180112:0710;;0.0;0.0;0.0;0.0;4.53;0.41;0.0
20180112:0810;;0.0;11.0;0.0;3.4;4.54;0.41;0.0
20180112:0910;;0.0;48.0;0.0;9.77;4.58;0.48;0.0
20180112:1010;;0.0;53.0;0.0;14.41;4.58;0.69;0.0
20180112:1110;;0.0;53.0;0.0;16.94;4.6;0.48;0.0
20180112:1210;;0.0;54.0;0.0;17.14;4.94;0.34;0.0
20180112:1310;;0.0;45.0;0.0;14.97;5.47;0.41;0.0
20180112:1410;;0.0;42.0;0.0;10.65;5.61;0.62;0.0
20180112:1510;;0.0;15.0;0.0;4.54;5.62;0.83;0.0
20180112:1610;;0.0;0.0;0.0;0.0;5.38;0.97;0.0
20180112:1710;;0.0;0.0;0.0;0.0;5.14;0.97;0.0
20180112:1810;;0.0;0.0;0.0;0.0;5.07;1.17;0.0
20180112:1910;;0.0;0.0;0.0;0.0;4.7;1.17;0.0
20180112:2010;;0.0;0.0;0.0;0.0;4.45;1.24;0.0
20180112:2110;;0.0;0.0;0.0;0.0;4.03;1.24;0.0
20180112:2210;;0.0;0.0;0.0;0.0;3.56;1.38;0.0
20180112:2310;;0.0;0.0;0.0;0.0;3.36;1.45;0.0
20180113:0010;;0.0;0.0;0.0;0.0;2.98;1.66;0.0
20180113:0110;;0.0;0.0;0.0;0.0;3.32;1.66;0.0
20180113:0210;;0.0;0.0;0.0;0.0;3.44;1.79;0.0
20180113:0310;;0.0;0.0;0.0;0.0;3.24;1.79;0.0
20180113:0410;;0.0;0.0;0.0;0.0;3.09;1.79;0.0
20180113:0510;;0.0;0.0;0.0;0.0;2.58;1.86;0.0
20180113:0610;;0.0;0.0;0.0;0.0;2.19;1.86;0.0
20180113:0710;;0.0;0.0;0.0;0.0;2.48;2.07;0.0
20180113:0810;;6.0;18.61;0.0;3.5;2.36;2.14;0.0
20180113:0910;;0.0;40.0;0.0;9.88;3.21;2.0;0.0
20180113:1010;;0.0;54.0;0.0;14.54;4.54;2.07;0.0
20180113:1110;;5.0;113.0;0.0;17.1;5.65;3.52;0.0
20180113:1210;;192.01;81.0;0.0;17.31;6.24;3.17;0.0
20180113:1310;;143.01;82.0;0.0;15.15;6.6;2.9;0.0
20180113:1410;;95.01;57.0;0.0;10.84;6.64;2.76;0.0
20180113:1510;;23.0;21.67;0.0;4.73;6.04;2.69;0.0
20180113:1610;;0.0;0.0;0.0;0.0;4.74;3.1;0.0
20180113:1710;;0.0;0.0;0.0;0.0;4.03;3.38;0.0
20180113:1810;;0.0;0.0;0.0;0.0;3.59;3.38;0.0
20180113:1910;;0.0;0.0;0.0;0.0;2.78;2.97;0.0
20180113:2010;;0.0;0.0;0.0;0.0;2.42;2.83;0.0
20180113:2110;;0.0;0.0;0.0;0.0;2.07;2.69;0.0
20180113:2210;;0.0;0.0;0.0;0.0;1.79;2.69;0.0
20180113:2310;;0.0;0.0;0.0;0.0;1.58;2.69;0.0
20180114:0010;;0.0;0.0;0.0;0.0;1.46;2.69;0.0
20180114:0110;;0.0;0.0;0.0;0.0;1.34;2.76;0.0
20180114:0210;;0.0;0.0;0.0;0.0;1.26;2.9;0.0
20180114:0310;;0.0;0.0;0.0;0.0;1.24;2.83;0.0
20180114:0410;;0.0;0.0;0.0;0.0;1.01;2.76;0.0
20180114:0510;;0.0;0.0;0.0;0.0;0.76;2.62;0.0
20180114:0610;;0.0;0.0;0.0;0.0;0.5;2.62;0.0
20180114:0710;;0.0;0.0;0.0;0.0;1.29;2.62;0.0
20180114:0810;;14.0;16.85;0.0;3.61;1.05;2.55;0.0
20180114:0910;;88.01;53.0;0.0;10.01;1.76;2.48;0.0
20180114:1010;;153.01;73.0;0.0;14.69;3.28;2.48;0.0
20180114:1110;;183.01;87.0;0.0;17.27;4.57;2.62;0.0
20180114:1210;;230.01;61.0;0.0;17.49;5.65;2.62;0.0
20180114:1310;;205.01;49.0;0.0;15.34;6.32;2.48;0.0
20180114:1410;;109.01;53.0;0.0;11.03;6.5;2.28;0.0
20180114:1510;;32.0;18.4;0.0;4.92;5.85;2.14;0.0
20180114:1610;;0.0;0.0;0.0;0.0;4.44;2.48;0.0
20180114:1710;;0.0;0.0;0.0;0.0;3.36;2.62;0.0
20180114:1810;;0.0;0.0;0.0;0.0;2.75;2.83;0.0
20180114:1910;;0.0;0.0;0.0;0.0;2.33;3.17;0.0
20180114:2010;;0.0;0.0;0.0;0.0;2.23;3.31;0.0
20180114:2110;;0.0;0.0;0.0;0.0;2.16;3.45;0.0
20180114:2210;;0.0;0.0;0.0;0.0;2.34;3.52;0.0
20180114:2310;;0.0;0.0;0.0;0.0;2.66;3.59;0.0
20180115:0010;;0.0;0.0;0.0;0.0;2.9;3.66;0.0
20180115:0110;;0.0;0.0;0.0;0.0;3.23;3.72;0.0
20180115:0210;;0.0;0.0;0.0;0.0;3.58;3.72;0.0
20180115:0310;;0.0;0.0;0.0;0.0;3.83;3.79;0.0
20180115:0410;;0.0;0.0;0.0;0.0;4.11;4.0;0.0
20180115:0510;;0.0;0.0;0.0;0.0;4.44;4.21;0.0
20180115:0610;;0.0;0.0;0.0;0.0;5.02;4.76;0.0
20180115:0710;;0.0;0.0;0.0;0.0;5.16;5.31;0.0
20180115:0810;;16.0;16.51;0.0;3.72;5.25;5.66;0.0
20180115:0910;;0.0;34.0;0.0;10.14;5.78;6.0;0.0
20180115:1010;;0.0;66.0;0.0;14.84;6.34;6.34;0.0
20180115:1110;;0.0;89.0;0.0;17.44;6.5;7.17;0.0
20180115:1210;;0.0;42.0;0.0;17.68;6.44;7.79;0.0
20180115:1310;;0.0;52.0;0.0;15.54;6.25;7.79;0.0
20180115:1410;;4.0;72.0;0.0;11.23;5.89;8.07;0.0
20180115:1510;;0.0;10.0;0.0;5.12;5.59;8.48;0.0
20180115:1610;;0.0;0.0;0.0;0.0;4.97;8.83;0.0
20180115:1710;;0.0;0.0;0.0;0.0;4.5;9.24;0.0
20180115:1810;;0.0;0.0;0.0;0.0;4.76;9.52;0.0
20180115:1910;;0.0;0.0;0.0;0.0;6.07;7.79;0.0
20180115:2010;;0.0;0.0;0.0;0.0;6.75;6.76;0.0
20180115:2110;;0.0;0.0;0.0;0.0;7.46;6.69;0.0
20180115:2210;;0.0;0.0;0.0;0.0;7.24;6.21;0.0
20180115:2310;;0.0;0.0;0.0;0.0;6.59;6.14;0.0
20180116:0010;;0.0;0.0;0.0;0.0;5.88;6.21;0.0
20180116:0110;;0.0;0.0;0.0;0.0;5.68;5.79;0.0
